CP3,Northing,Easting,Elevation
dem1056,4483207.308,343979.574,2055.005
dem1057,4483206.63,343978.58,2055.036
dem1058,4483205.9,343977.544,2055.078
dem1059,4483205.27,343976.652,2055.265
dem1060,4483204.549,343975.694,2055.389
dem1061,4483203.945,343974.654,2055.458
dem1062,4483203.362,343973.671,2055.613
dem1063,4483202.654,343972.787,2055.626
dem1064,4483201.988,343971.846,2055.767
dem1065,4483201.284,343970.782,2055.773
dem1066,4483200.676,343969.688,2055.842
dem1067,4483199.942,343968.664,2055.921
dem1068,4483199.21,343967.727,2055.901
dem1069,4483198.483,343966.799,2056.065
dem1070,4483197.779,343965.84,2056.102
dem1071,4483197.09,343965.024,2056.2
dem1072,4483196.553,343965.293,2056.151
dem1073,4483196.333,343966.077,2056.141
dem1074,4483195.927,343967.119,2056.053
dem1075,4483195.255,343968.13,2055.918
dem1076,4483194.428,343969.107,2055.879
dem1077,4483193.428,343969.888,2055.91
dem1078,4483192.325,343970.423,2055.896
dem1079,4483191.897,343971.039,2055.838
dem1080,4483192.337,343971.69,2055.792
dem1081,4483193.222,343971.832,2055.788
dem1082,4483193.963,343971.236,2055.782
dem1083,4483194.627,343970.222,2055.785
dem1084,4483195.345,343969.274,2055.862
dem1085,4483196.144,343968.394,2055.914
dem1086,4483196.969,343967.922,2055.889
dem1087,4483197.739,343968.288,2055.892
dem1088,4483197.503,343969.348,2055.885
dem1089,4483196.919,343970.377,2055.788
dem1090,4483196.199,343971.28,2055.721
dem1091,4483195.461,343972.059,2055.673
dem1092,4483194.904,343972.756,2055.661
dem1093,4483195.115,343973.516,2055.617
dem1094,4483195.982,343973.975,2055.575
dem1095,4483196.995,343973.698,2055.583
dem1096,4483197.841,343972.94,2055.656
dem1097,4483198.66,343971.962,2055.695
dem1098,4483199.519,343971.102,2055.734
dem1099,4483200.4,343970.259,2055.841
dem1100,4483201.208,343969.317,2055.879
dem1101,4483201.936,343968.421,2055.898
dem1102,4483202.879,343967.428,2056.068
dem1103,4483203.861,343966.745,2056.062
dem1104,4483204.976,343966.531,2056.152
dem1105,4483205.453,343967.166,2056.143
dem1106,4483205.016,343968.282,2055.938
dem1107,4483204.269,343969.422,2055.804
dem1108,4483203.514,343970.548,2055.815
dem1109,4483202.862,343971.592,2055.761
dem1110,4483202.177,343972.683,2055.622
dem1111,4483201.448,343973.792,2055.557
dem1112,4483200.796,343974.931,2055.525
dem1113,4483200.193,343975.806,2055.508
dem1114,4483200.068,343976.706,2055.349
dem1115,4483200.701,343977.475,2055.294
dem1116,4483201.728,343978.184,2055.314
dem1117,4483202.765,343978.954,2055.236
dem1118,4483203.404,343979.969,2055.137
dem1119,4483203.094,343981.144,2055.062
dem1120,4483202.316,343982.179,2054.956
dem1121,4483201.59,343983.224,2054.994
dem1122,4483200.926,343984.373,2054.956
dem1123,4483200.169,343985.455,2054.871
dem1124,4483199.381,343986.537,2054.753
dem1125,4483198.536,343987.669,2054.642
dem1126,4483197.718,343988.856,2054.615
dem1127,4483196.999,343990.027,2054.669
dem1128,4483196.279,343991.167,2054.63
dem1129,4483195.541,343992.323,2054.57
