X,Y,Depth
343954.9552,4483169.4164,2.8986
343954.9552,4483169.2164,2.8125
343955.1552,4483176.8164,1.8961
343955.1552,4483176.6164,1.9223
343955.1552,4483176.4164,1.9271
343955.1552,4483176.2164,1.9237
343955.1552,4483176.0164,1.9172
343955.1552,4483175.8164,1.9005
343955.1552,4483175.6164,1.8815
343955.1552,4483175.4164,1.8707
343955.1552,4483175.2164,1.8663
343955.1552,4483175.0164,1.8738
343955.1552,4483174.8164,1.888
343955.1552,4483174.6164,1.9131
343955.1552,4483174.4164,1.9393
343955.1552,4483174.2164,1.9649
343955.1552,4483174.0164,2.0092
343955.1552,4483173.8164,2.0723
343955.1552,4483173.6164,2.1725
343955.1552,4483173.4164,2.2062
343955.1552,4483173.2164,2.2826
343955.1552,4483173.0164,2.3645
343955.1552,4483172.8164,2.4356
343955.1552,4483172.6164,2.5068
343955.1552,4483172.4164,2.5807
343955.1552,4483172.2164,2.6166
343955.1552,4483172.0164,2.6524
343955.1552,4483171.8164,2.7488
343955.1552,4483171.6164,2.7794
343955.1552,4483171.4164,2.8096
343955.1552,4483171.2164,2.9205
343955.1552,4483171.0164,2.9281
343955.1552,4483170.8164,2.9359
343955.1552,4483170.6164,2.9489
343955.1552,4483170.4164,2.9331
343955.1552,4483170.2164,2.933
343955.1552,4483170.0164,2.8937
343955.1552,4483169.8164,2.8693
343955.1552,4483169.6164,2.8186
343955.1552,4483169.4164,2.7798
343955.1552,4483169.2164,2.7038
343955.1552,4483169.0164,2.5921
343955.3552,4483177.0164,1.9129
343955.3552,4483176.8164,1.8955
343955.3552,4483176.6164,1.9227
343955.3552,4483176.4164,1.9257
343955.3552,4483176.2164,1.9194
343955.3552,4483176.0164,1.9116
343955.3552,4483175.8164,1.8865
343955.3552,4483175.6164,1.8926
343955.3552,4483175.4164,1.8548
343955.3552,4483175.2164,1.85
343955.3552,4483175.0164,1.8624
343955.3552,4483174.8164,1.8746
343955.3552,4483174.6164,1.907
343955.3552,4483174.4164,1.9264
343955.3552,4483174.2164,1.9499
343955.3552,4483174.0164,1.9892
343955.3552,4483173.8164,2.0541
343955.3552,4483173.6164,2.1129
343955.3552,4483173.4164,2.1773
343955.3552,4483173.2164,2.2569
343955.3552,4483173.0164,2.3749
343955.3552,4483172.8164,2.442
343955.3552,4483172.6164,2.4781
343955.3552,4483172.4164,2.516
343955.3552,4483172.2164,2.5803
343955.3552,4483172.0164,2.6217
343955.3552,4483171.8164,2.6823
343955.3552,4483171.6164,2.7322
343955.3552,4483171.4164,2.7584
343955.3552,4483171.2164,2.8124
343955.3552,4483171.0164,2.8199
343955.3552,4483170.8164,2.8811
343955.3552,4483170.6164,2.8842
343955.3552,4483170.4164,2.8772
343955.3552,4483170.2164,2.825
343955.3552,4483170.0164,2.758
343955.3552,4483169.8164,2.7147
343955.3552,4483169.6164,2.6722
343955.3552,4483169.4164,2.6221
343955.3552,4483169.2164,2.5421
343955.3552,4483169.0164,2.4543
343955.3552,4483168.8164,2.5911
343955.3552,4483168.6164,2.5342
343955.5552,4483177.4164,1.9696
343955.5552,4483177.2164,1.942
343955.5552,4483177.0164,1.9287
343955.5552,4483176.8164,1.9081
343955.5552,4483176.6164,1.9258
343955.5552,4483176.4164,1.9231
343955.5552,4483176.2164,1.9135
343955.5552,4483176.0164,1.8961
343955.5552,4483175.8164,1.8785
343955.5552,4483175.6164,1.8797
343955.5552,4483175.4164,1.8588
343955.5552,4483175.2164,1.8466
343955.5552,4483175.0164,1.8543
343955.5552,4483174.8164,1.867
343955.5552,4483174.6164,1.8945
343955.5552,4483174.4164,1.9162
343955.5552,4483174.2164,1.9378
343955.5552,4483174.0164,1.9811
343955.5552,4483173.8164,2.0305
343955.5552,4483173.6164,2.0869
343955.5552,4483173.4164,2.1852
343955.5552,4483173.2164,2.2665
343955.5552,4483173.0164,2.317
343955.5552,4483172.8164,2.4155
343955.5552,4483172.6164,2.4488
343955.5552,4483172.4164,2.4923
343955.5552,4483172.2164,2.5254
343955.5552,4483172.0164,2.5833
343955.5552,4483171.8164,2.6391
343955.5552,4483171.6164,2.6657
343955.5552,4483171.4164,2.7142
343955.5552,4483171.2164,2.7509
343955.5552,4483171.0164,2.7634
343955.5552,4483170.8164,2.7645
343955.5552,4483170.6164,2.7671
343955.5552,4483170.4164,2.743
343955.5552,4483170.2164,2.7655
343955.5552,4483170.0164,2.655
343955.5552,4483169.8164,2.596
343955.5552,4483169.6164,2.5414
343955.5552,4483169.4164,2.5737
343955.5552,4483169.2164,2.4725
343955.5552,4483169.0164,2.3933
343955.5552,4483168.8164,2.4592
343955.5552,4483168.6164,2.4724
343955.5552,4483168.4164,2.5287
343955.5552,4483168.2164,2.6185
343955.7552,4483177.6164,1.9891
343955.7552,4483177.4164,1.9842
343955.7552,4483177.2164,1.9687
343955.7552,4483177.0164,1.9519
343955.7552,4483176.8164,1.9277
343955.7552,4483176.6164,1.9381
343955.7552,4483176.4164,1.9236
343955.7552,4483176.2164,1.9152
343955.7552,4483176.0164,1.8839
343955.7552,4483175.8164,1.8658
343955.7552,4483175.6164,1.867
343955.7552,4483175.4164,1.8575
343955.7552,4483175.2164,1.8564
343955.7552,4483175.0164,1.8519
343955.7552,4483174.8164,1.8677
343955.7552,4483174.6164,1.8934
343955.7552,4483174.4164,1.9136
343955.7552,4483174.2164,1.9237
343955.7552,4483174.0164,1.9631
343955.7552,4483173.8164,1.9934
343955.7552,4483173.6164,2.0576
343955.7552,4483173.4164,2.1237
343955.7552,4483173.2164,2.2595
343955.7552,4483173.0164,2.295
343955.7552,4483172.8164,2.3485
343955.7552,4483172.6164,2.4313
343955.7552,4483172.4164,2.4598
343955.7552,4483172.2164,2.491
343955.7552,4483172.0164,2.5448
343955.7552,4483171.8164,2.594
343955.7552,4483171.6164,2.6245
343955.7552,4483171.4164,2.645
343955.7552,4483171.2164,2.687
343955.7552,4483171.0164,2.6913
343955.7552,4483170.8164,2.7044
343955.7552,4483170.6164,2.7442
343955.7552,4483170.4164,2.71
343955.7552,4483170.2164,2.6624
343955.7552,4483170.0164,2.6709
343955.7552,4483169.8164,2.683
343955.7552,4483169.6164,2.5216
343955.7552,4483169.4164,2.4953
343955.7552,4483169.2164,2.4115
343955.7552,4483169.0164,2.4213
343955.7552,4483168.8164,2.3295
343955.7552,4483168.6164,2.4792
343955.7552,4483168.4164,2.573
343955.7552,4483168.2164,2.6579
343955.7552,4483168.0164,2.6893
343955.7552,4483167.8164,2.7096
343955.9552,4483177.8164,2.0228
343955.9552,4483177.6164,2.0214
343955.9552,4483177.4164,2.0171
343955.9552,4483177.2164,1.9864
343955.9552,4483177.0164,1.9748
343955.9552,4483176.8164,1.9549
343955.9552,4483176.6164,1.9711
343955.9552,4483176.4164,1.9391
343955.9552,4483176.2164,1.9135
343955.9552,4483176.0164,1.8669
343955.9552,4483175.8164,1.8517
343955.9552,4483175.6164,1.8424
343955.9552,4483175.4164,1.8295
343955.9552,4483175.2164,1.8506
343955.9552,4483175.0164,1.8448
343955.9552,4483174.8164,1.8631
343955.9552,4483174.6164,1.8887
343955.9552,4483174.4164,1.9083
343955.9552,4483174.2164,1.9243
343955.9552,4483174.0164,1.9485
343955.9552,4483173.8164,2.0191
343955.9552,4483173.6164,2.0499
343955.9552,4483173.4164,2.098
343955.9552,4483173.2164,2.142
343955.9552,4483173.0164,2.2266
343955.9552,4483172.8164,2.3306
343955.9552,4483172.6164,2.361
343955.9552,4483172.4164,2.3987
343955.9552,4483172.2164,2.4583
343955.9552,4483172.0164,2.4857
343955.9552,4483171.8164,2.5589
343955.9552,4483171.6164,2.577
343955.9552,4483171.4164,2.5923
343955.9552,4483171.2164,2.5666
343955.9552,4483171.0164,2.5733
343955.9552,4483170.8164,2.5859
343955.9552,4483170.6164,2.5908
343955.9552,4483170.4164,2.6032
343955.9552,4483170.2164,2.5611
343955.9552,4483170.0164,2.6278
343955.9552,4483169.8164,2.4954
343955.9552,4483169.6164,2.4813
343955.9552,4483169.4164,2.3641
343955.9552,4483169.2164,2.3715
343955.9552,4483169.0164,2.3489
343955.9552,4483168.8164,2.3952
343955.9552,4483168.6164,2.5559
343955.9552,4483168.4164,2.6306
343955.9552,4483168.2164,2.7655
343955.9552,4483168.0164,2.846
343955.9552,4483167.8164,2.8595
343955.9552,4483167.6164,2.8666
343956.1552,4483178.0164,2.0399
343956.1552,4483177.8164,2.0293
343956.1552,4483177.6164,2.0285
343956.1552,4483177.4164,2.0237
343956.1552,4483177.2164,1.9926
343956.1552,4483177.0164,1.9842
343956.1552,4483176.8164,1.9686
343956.1552,4483176.6164,1.9665
343956.1552,4483176.4164,1.9351
343956.1552,4483176.2164,1.927
343956.1552,4483176.0164,1.8685
343956.1552,4483175.8164,1.8594
343956.1552,4483175.6164,1.8428
343956.1552,4483175.4164,1.8308
343956.1552,4483175.2164,1.8453
343956.1552,4483175.0164,1.871
343956.1552,4483174.8164,1.871
343956.1552,4483174.6164,1.8945
343956.1552,4483174.4164,1.9128
343956.1552,4483174.2164,1.932
343956.1552,4483174.0164,1.9582
343956.1552,4483173.8164,1.9884
343956.1552,4483173.6164,2.0372
343956.1552,4483173.4164,2.0658
343956.1552,4483173.2164,2.1193
343956.1552,4483173.0164,2.1832
343956.1552,4483172.8164,2.2496
343956.1552,4483172.6164,2.2769
343956.1552,4483172.4164,2.3075
343956.1552,4483172.2164,2.3611
343956.1552,4483172.0164,2.4195
343956.1552,4483171.8164,2.4388
343956.1552,4483171.6164,2.49
343956.1552,4483171.4164,2.5017
343956.1552,4483171.2164,2.4698
343956.1552,4483171.0164,2.4683
343956.1552,4483170.8164,2.5068
343956.1552,4483170.6164,2.5123
343956.1552,4483170.4164,2.5285
343956.1552,4483170.2164,2.4283
343956.1552,4483170.0164,2.4863
343956.1552,4483169.8164,2.4255
343956.1552,4483169.6164,2.4094
343956.1552,4483169.4164,2.3904
343956.1552,4483169.2164,2.3703
343956.1552,4483169.0164,2.3504
343956.1552,4483168.8164,2.455
343956.1552,4483168.6164,2.4817
343956.1552,4483168.4164,2.6687
343956.1552,4483168.2164,2.7751
343956.1552,4483168.0164,2.8752
343956.1552,4483167.8164,2.9023
343956.1552,4483167.6164,2.9077
343956.1552,4483167.4164,2.9081
343956.1552,4483167.2164,2.8973
343956.3552,4483178.2164,2.0615
343956.3552,4483178.0164,2.05
343956.3552,4483177.8164,2.0431
343956.3552,4483177.6164,2.0418
343956.3552,4483177.4164,2.0361
343956.3552,4483177.2164,2.0032
343956.3552,4483177.0164,1.9968
343956.3552,4483176.8164,1.9781
343956.3552,4483176.6164,1.9589
343956.3552,4483176.4164,1.9325
343956.3552,4483176.2164,1.9271
343956.3552,4483176.0164,1.8791
343956.3552,4483175.8164,1.8699
343956.3552,4483175.6164,1.8547
343956.3552,4483175.4164,1.8422
343956.3552,4483175.2164,1.8541
343956.3552,4483175.0164,1.8755
343956.3552,4483174.8164,1.8847
343956.3552,4483174.6164,1.9061
343956.3552,4483174.4164,1.9219
343956.3552,4483174.2164,1.938
343956.3552,4483174.0164,1.9591
343956.3552,4483173.8164,1.9966
343956.3552,4483173.6164,2.0176
343956.3552,4483173.4164,2.0592
343956.3552,4483173.2164,2.115
343956.3552,4483173.0164,2.1447
343956.3552,4483172.8164,2.1823
343956.3552,4483172.6164,2.2392
343956.3552,4483172.4164,2.2697
343956.3552,4483172.2164,2.3205
343956.3552,4483172.0164,2.3562
343956.3552,4483171.8164,2.3897
343956.3552,4483171.6164,2.3775
343956.3552,4483171.4164,2.4084
343956.3552,4483171.2164,2.431
343956.3552,4483171.0164,2.3836
343956.3552,4483170.8164,2.4096
343956.3552,4483170.6164,2.4605
343956.3552,4483170.4164,2.3752
343956.3552,4483170.2164,2.396
343956.3552,4483170.0164,2.384
343956.3552,4483169.8164,2.3882
343956.3552,4483169.6164,2.3789
343956.3552,4483169.4164,2.3676
343956.3552,4483169.2164,2.3506
343956.3552,4483169.0164,2.3307
343956.3552,4483168.8164,2.4726
343956.3552,4483168.6164,2.5197
343956.3552,4483168.4164,2.6635
343956.3552,4483168.2164,2.7729
343956.3552,4483168.0164,2.8632
343956.3552,4483167.8164,2.9029
343956.3552,4483167.6164,2.9624
343956.3552,4483167.4164,2.9625
343956.3552,4483167.2164,2.9494
343956.3552,4483167.0164,2.9411
343956.3552,4483166.8164,2.9215
343956.5552,4483178.4164,2.094
343956.5552,4483178.2164,2.0781
343956.5552,4483178.0164,2.0714
343956.5552,4483177.8164,2.058
343956.5552,4483177.6164,2.0555
343956.5552,4483177.4164,2.0488
343956.5552,4483177.2164,2.0178
343956.5552,4483177.0164,2.008
343956.5552,4483176.8164,1.9845
343956.5552,4483176.6164,1.964
343956.5552,4483176.4164,1.9454
343956.5552,4483176.2164,1.9287
343956.5552,4483176.0164,1.9001
343956.5552,4483175.8164,1.8841
343956.5552,4483175.6164,1.8653
343956.5552,4483175.4164,1.8597
343956.5552,4483175.2164,1.8694
343956.5552,4483175.0164,1.8858
343956.5552,4483174.8164,1.902
343956.5552,4483174.6164,1.9254
343956.5552,4483174.4164,1.9406
343956.5552,4483174.2164,1.9511
343956.5552,4483174.0164,1.973
343956.5552,4483173.8164,1.9974
343956.5552,4483173.6164,2.0156
343956.5552,4483173.4164,2.0418
343956.5552,4483173.2164,2.071
343956.5552,4483173.0164,2.1084
343956.5552,4483172.8164,2.1452
343956.5552,4483172.6164,2.1732
343956.5552,4483172.4164,2.2298
343956.5552,4483172.2164,2.2539
343956.5552,4483172.0164,2.2861
343956.5552,4483171.8164,2.2754
343956.5552,4483171.6164,2.2864
343956.5552,4483171.4164,2.32
343956.5552,4483171.2164,2.3036
343956.5552,4483171.0164,2.3152
343956.5552,4483170.8164,2.3531
343956.5552,4483170.6164,2.3617
343956.5552,4483170.4164,2.3227
343956.5552,4483170.2164,2.3408
343956.5552,4483170.0164,2.3865
343956.5552,4483169.8164,2.3998
343956.5552,4483169.6164,2.3672
343956.5552,4483169.4164,2.3627
343956.5552,4483169.2164,2.3441
343956.5552,4483169.0164,2.3222
343956.5552,4483168.8164,2.5128
343956.5552,4483168.6164,2.5416
